artist,song_title,year,artist_genre,youtube_link,imvdb_url
Brownstone,Grapevyne,1994,Desconhecido,https://www.youtube.com/watch?v=3E5bg02oauA,https://imvdb.com/video/brownstone/grapevyne
Soundgarden,Superunknown,1994,Desconhecido,https://www.youtube.com/watch?v=AwdjreJKggg,https://imvdb.com/video/soundgarden/superunknown
Silverchair,Tomorrow,1994,Desconhecido,https://www.youtube.com/watch?v=RZD982yrmx4,https://imvdb.com/video/silverchair/tomorrow
Therapy?,Isolation,1994,Desconhecido,https://www.youtube.com/watch?v=8ZwXCDqlE9I,https://imvdb.com/video/therapy?/isolation
Ash,Petrol,1994,Desconhecido,https://www.youtube.com/watch?v=E6qqbsdFTv0,https://imvdb.com/video/ash/petrol
Soundgarden,Spoonman,1994,Desconhecido,https://www.youtube.com/watch?v=T0_zzCLLRvE,https://imvdb.com/video/soundgarden/spoonman
Ramones,Substitute,1994,Desconhecido,https://www.youtube.com/watch?v=wIWpfS_MFHw,https://imvdb.com/video/ramones/substitute
Moby,Hymm,1994,Desconhecido,https://www.youtube.com/watch?v=HGbiQmTh4sM,https://imvdb.com/video/moby/hymm
Doop,Doop,1994,Desconhecido,https://www.youtube.com/watch?v=tvLDm8821jQ,https://imvdb.com/video/doop/doop
Prince,Interactive,1994,Desconhecido,https://www.youtube.com/watch?v=AK8KPusN_tk,https://imvdb.com/video/prince/interactive
Litfiba,Africa,1994,Desconhecido,https://www.youtube.com/watch?v=MbNjohrgcLA,https://imvdb.com/video/litfiba/africa
Ride,Birdman,1994,Desconhecido,https://www.youtube.com/watch?v=JfSqueZGQDg,https://imvdb.com/video/ride/birdman
Therapy?,Screamager,1994,Desconhecido,https://www.youtube.com/watch?v=oDVsIvvFtcs,https://imvdb.com/video/therapy?/screamager
Prince,Endorphinmachine,1994,Desconhecido,https://www.youtube.com/watch?v=09vNPhIk4QU,https://imvdb.com/video/prince/endorphinmachine
OutKast,Southernplayalisticadillacmuzik,1994,Desconhecido,https://www.youtube.com/watch?v=ssc67bXV6lU,https://imvdb.com/video/outkast/southernplayalisticadillacmuzik
Fugees,Vocab,1994,Desconhecido,https://www.youtube.com/watch?v=m4t5R3fTbD0,https://imvdb.com/video/fugees/vocab
Litfiba,Spirito,1994,Desconhecido,https://www.youtube.com/watch?v=yOp5S332QBY,https://imvdb.com/video/litfiba/spirito
Veruca Salt,Seether,1994,Desconhecido,https://www.youtube.com/watch?v=jC9AUR-iTo0,https://imvdb.com/video/veruca-salt/seether
Oasis,Cigarettes & Alcohol,1994,Desconhecido,https://www.youtube.com/watch?v=SaeLKhRnkhQ,https://imvdb.com/video/oasis/cigarettes-alcohol
Scalaland,Call Me,1994,Desconhecido,,https://imvdb.com/video/scalaland/call-me
Hole,Violet,1994,Desconhecido,https://www.youtube.com/watch?v=cH_rfGBwamc,https://imvdb.com/video/hole/violet
L7,Andres,1994,Desconhecido,https://www.youtube.com/watch?v=5COHP3KZuq4,https://imvdb.com/video/l7/andres
Magic Affair,Fire,1994,Desconhecido,https://www.youtube.com/watch?v=PpoIU0jO0vQ,https://imvdb.com/video/magic-affair/fire
Rancid,Salvation,1994,Desconhecido,https://www.youtube.com/watch?v=Rvuae0Y-Spg,https://imvdb.com/video/rancid/salvation
Whigfield,Another Day,1994,Desconhecido,https://www.youtube.com/watch?v=dbwZGCkc8dM,https://imvdb.com/video/whigfield/another-day
Ash,Uncle Pat,1994,Desconhecido,https://www.youtube.com/watch?v=FBWd8R8rjF8,https://imvdb.com/video/ash/uncle-pat
Warren G,Regulate,1994,Desconhecido,https://www.youtube.com/watch?v=1plPyJdXKIY,https://imvdb.com/video/warren-g/regulate
Silverchair,Tomorrow,1994,Desconhecido,https://www.youtube.com/watch?v=npumgrLT7hM,https://imvdb.com/video/silverchair/tomorrow/2
Oasis,Supersonic,1994,Desconhecido,https://www.youtube.com/watch?v=FOTsS2mplA0,https://imvdb.com/video/oasis/supersonic
Ween,Voodoo Lady,1994,Desconhecido,https://www.youtube.com/watch?v=vJVLR9lyopg,https://imvdb.com/video/ween/voodoo-lady
